policy,scenario,distribution_family,n,level,total_replications,conditional_denominator,classification_rate,classification_ci95_lower,classification_ci95_upper,type_i_error,type_i_ci95_lower,type_i_ci95_upper,ci_coverage,coverage_ci95_lower,coverage_ci95_upper
v2,bimodal_asymmetric,bimodal,500,insufficient,200,56,0.28,0.22236889773949026,0.3459230458665071,0.05357142857142857,0.018385781382109126,0.14607309068821533,0.9464285714285714,0.8539269093117847,0.9816142186178909
v3_default,bimodal_asymmetric,bimodal,500,all,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v3_default,bimodal_asymmetric,bimodal,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,500,caution,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v3_default,bimodal_asymmetric,bimodal,500,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,500,all,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,500,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,500,caution,200,200,1.0,0.9811546736227335,1.0,0.07,0.042152171828342806,0.11405480885610647,0.93,0.8859451911438936,0.9578478281716571
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,500,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,750,all,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411
v2,bimodal_asymmetric,bimodal,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v2,bimodal_asymmetric,bimodal,750,caution,200,153,0.765,0.7015863111723746,0.8184256658476741,0.058823529411764705,0.031252630211971916,0.1080055671098468,0.9411764705882353,0.8919944328901532,0.968747369788028
v2,bimodal_asymmetric,bimodal,750,insufficient,200,47,0.235,0.18157433415232588,0.29841368882762537,0.0425531914893617,0.011748275966789345,0.1424852767789945,0.9574468085106383,0.8575147232210055,0.9882517240332106
v3_default,bimodal_asymmetric,bimodal,750,all,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411
v3_default,bimodal_asymmetric,bimodal,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_default,bimodal_asymmetric,bimodal,750,caution,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411
v3_default,bimodal_asymmetric,bimodal,750,insufficient,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,750,all,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,750,acceptable,200,0,0.0,1.734723475976807e-18,0.018845326377266575,,,,,,
v3_oracle_simulation_truth,bimodal_asymmetric,bimodal,750,caution,200,200,1.0,0.9811546736227335,1.0,0.055,0.03098534170345884,0.0957869987723084,0.945,0.9042130012276914,0.9690146582965411
